ID,Categorie,Nom,Brand,Prix,Type_Contribution,Description,ImageURL,ProductLink,Offert_par
1,Cuisine,"Cocottes en fonte 33cm / 7,5L",Le Creuset,475,unique,Cocotte Le Creuset en fonte pour faire mijoter des bons plats francais quand on est en manque du pays,https://www.lecreuset.fr/on/demandware.static/-/Sites-master-catalog-LC/default/dwabe4372b/images/lifestyleImages/Volcanic/CI1178_Volcanic_03.jpg,https://www.lecreuset.fr/fr_FR/p/cocotte-ovale-en-fonte-emaillee/CI1178.html?dwvar_CI1178_color=cerise&dwvar_CI1178_size=33cm-l7-5,
2,Cuisine,Thermomix® TM7,Vorvek,1599,unique,"Le thermomix, pour faire plein de recettes qu'on fait jamais",https://media.vorwerk.com/is/image/vorwerk/FR-eshop-thermomix-tm7-1?wid=633&hei=633&tmst=1740321935706&fmt=webp,https://www.vorwerk.com/fr/fr/c/vorwerk/produits/thermomix/thermomix-tm7,
3,Cuisine,Moules cannelés en cuivre,Baillardan,55,unique,Pour pousser la maitrise du canneles au next level,https://www.baillardran.com/415-large_default/moule-a-canele.jpg,https://www.baillardran.com/fr/moules-a-canele-en-cuivre/38-128-moule-a-canele.html#/81-taille_coffret-unite,
4,Cuisine,Culs de Poule antidérapants,Mathon,76,unique,"Pour ceux qui ne connaissent pas, c'est la vie",https://www.mathon.fr/cdn/shop/files/573900_0_f732d8fe-d16a-474c-b2d2-455ea87e32a8_1200x1200_crop_center.jpg?v=1749636536,https://www.mathon.fr/products/lot-6-bols-en-inox-gradues-avec-base-silicone-10-5-a-24-cm?esl-k=Google|nx|c|m|k|p|t|dc|a20413591620|g20413591620&utm_id=20413591620&utm_source=google&utm_medium=liens_sponso&utm_campaign=Pmax_FR_Art_de_la_table&utm_term=573900&utm_content=pla&utm_creative_format=pmax&gad_source=1&gad_campaignid=19973734741&gbraid=0AAAAAD-0e72wGtGmnt-PqO0rOr26FhQJ-&gclid=Cj0KCQjwgpzIBhCOARIsABZm7vFHOyXQ_dFV2rJc0qkIR3wkXP5Y5lkdTVPW8C2ePiLio4u_LA3z128aAn_nEALw_wcB,
5,Home,Housse de couette xx ,La Redoute,24,unique,Housse de couette en percale de cotton - si doux,"https://cdn.laredoute.com/cdn-cgi/image/width=1200,height=1200,fit=pad,dpr=1/products/6/c/b/6cbc419c92c8bb636b7ed382c5447872.jpg",https://www.laredoute.fr/ppdp/prod-547923109.aspx,
6,Home,Taies d'oreiller,La Redoute,9,unique,Taies d'oreiller assortis aux draps (c'est mieux),"https://cdn.laredoute.com/cdn-cgi/image/width=1200,height=1200,fit=pad,dpr=1/products/c/0/2/c024ebd1f1cb3aacffd89fdde0b5675d.jpg",https://www.laredoute.fr/ppdp/prod-547923108.aspx,
7,Experiences,Valise The Large,Away Travel,375,unique,Valise Navy Blue pour partir en vacaaaances,https://www.awaytravel.com/cdn/shop/files/a37e90f8-e927-4f6c-95ee-23e033f72cc2.jpg?v=1739239279&width=1200,https://www.awaytravel.com/products/large-navy-blue,
8,Voyage de Noce,Billets A/R voyage de noce,FlightGift,1900,partiel,"Si vous voulez nous aider a partir en voyage sans Rayanair, Low Fares",https://www.flightgift.com/media/wp/FG/2025/01/un-billet-davion-sans-date-le-cadeau-voyage-pour-couple-ideal.gif,https://www.flightgift.com/fr/give/,
9,Cuisine,Planche à découper,John Boos Block,150,unique,"Une planche à découper, boît d'erable (il parait que le saucisson est encore meilleur après)",https://www.divertimenti.co.uk/cdn/shop/products/Boos-Classic-End-Grain-Maple-Preparation-Block---51cm_800x.jpg?v=1655312581,https://www.divertimenti.co.uk/collections/boos-boards/products/boos-blocks-classic-end-grain-maple-preparation-block-51cm,
10,Electronique,Enceinte Devialet Phantom 98dB,Devialet,1500,partiel,"L'enceinte parfaite, pour un son parfait (et francais)",https://assets.devialet.com/en-eu/media/dvl_media/GX887_Visual_Packshot_Devialet_Phantom_Ultimate_98dB_LP_5_1.png?twic=v1/background=FFFFFF/contain=1000x327,https://www.devialet.com/en-eu/phantom-speaker/phantom-ultimate-98db/,
